LocalAuthority,Category,Type,LicenceArea,LCT_Connections,True Export,Predicted Export,Residual
Harrow London Boro,Generation,Solar PV,Eastern Power Networks (EPN),8,31,30.115936,0.884063720703125
Swale District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,26,31.38473,-5.384729385375977
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),104,351,306.45523,44.544769287109375
Havering London Boro,Generation,Solar PV,Eastern Power Networks (EPN),13,43,44.628124,-1.6281242370605469
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),11,42,39.77279,2.2272109985351562
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,22,26.304327,-4.304327011108398
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,37,42.498356,-5.498355865478516
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),61,175,179.43709,-4.4370880126953125
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),9,30,32.258327,-2.2583274841308594
Dartford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,28,30.750051,-2.750051498413086
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),6,12,22.795174,-10.795173645019531
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),8,30,30.115936,-0.115936279296875
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),16,50,61.90907,-11.909069061279297
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,22,26.456924,-4.4569244384765625
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,23,32.49691,-9.496910095214844
Guildford District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),12,0,0.24412708,-0.2441270798444748
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,32,37.40434,-5.404338836669922
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),10,36,36.086212,-0.086212158203125
Hertsmere District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),11,0,0.006098238,-0.006098237819969654
North Hertfordshire District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.035914365,0.03591436520218849
Dartford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),13,23,43.94135,-20.941349029541016
Welwyn Hatfield District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
Colchester District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.7308158,-0.7308158278465271
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,60,32.258327,27.74167251586914
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,23,27.305162,-4.30516242980957
Bexley London Boro,Demand,EV Charging Point,London Power Networks (LPN),8,0,-0.2064694,0.20646940171718597
Arun District,Generation,Solar PV,South Eastern Power Networks (SPN),10,32,35.682945,-3.6829452514648438
Canterbury District (B),Generation,Solar PV,South Eastern Power Networks (SPN),11,46,38.238605,7.761394500732422
Croydon London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),8,0,-0.12871726,0.12871725857257843
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),15,64,55.146095,8.853904724121094
Lewes District,Demand,Heat Pump,South Eastern Power Networks (SPN),9,0,0.03420311,-0.03420310840010643
Mid Sussex District,Demand,EV Charging Point,South Eastern Power Networks (SPN),8,0,0.02479649,-0.024796489626169205
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,30,36.552258,-6.552257537841797
Barnet London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,-0.072602615,0.07260261476039886
Lambeth London Boro,Generation,Solar PV,London Power Networks (LPN),7,27,25.155558,1.844442367553711
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),20,66,72.02151,-6.021507263183594
East Suffolk District,Demand,Heat Pump,Eastern Power Networks (EPN),12,0,0.93606514,-0.936065137386322
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,14,28.514223,-14.514223098754883
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),14,60,52.885666,7.1143341064453125
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,27,29.786375,-2.786375045776367
Sevenoaks District,Generation,Solar PV,South Eastern Power Networks (SPN),7,20,26.29099,-6.290990829467773
The City of Brighton and Hove (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),13,49,44.460587,4.5394134521484375
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,30,35.544876,-5.5448760986328125
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),13,49,44.087036,4.9129638671875
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,39,30.818497,8.181503295898438
Harrow London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.00960803,-0.009608030319213867
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),6,16,22.886513,-6.886512756347656
Merton London Boro,Generation,Solar PV,London Power Networks (LPN),10,31,32.62439,-1.6243896484375
Hastings District (B),Generation,Solar PV,South Eastern Power Networks (SPN),17,61,57.725864,3.2741355895996094
Hastings District (B),Generation,Solar PV,South Eastern Power Networks (SPN),21,85,68.72971,16.270286560058594
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),19,66,66.49836,-0.49835968017578125
Sutton London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),9,0,0.08097805,-0.08097805082798004
Worthing District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,31,35.422787,-4.422786712646484
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,34,39.858265,-5.858264923095703
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),10,30,35.682945,-5.682945251464844
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),20,68,68.05181,-0.05181121826171875
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,28,35.682945,-7.682945251464844
Medway (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),10,0,0.19229399,-0.19229398667812347
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),6,22,22.886513,-0.8865127563476562
The City of Brighton and Hove (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,0.02479649,-0.024796489626169205
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),17,61,57.942516,3.057483673095703
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),16,55,56.276592,-1.2765922546386719
Woking District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,20,26.013351,-6.0133514404296875
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,31,35.682945,-4.682945251464844
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,18,26.036242,-8.03624153137207
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),7,23,26.585867,-3.585866928100586
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,31,32.258327,-1.2583274841308594
Eastbourne District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,22,22.795174,-0.7951736450195312
Richmond upon Thames London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),9,0,0.08097805,-0.08097805082798004
Harlow District,Generation,Solar PV,Eastern Power Networks (EPN),17,51,55.56103,-4.561031341552734
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,31,30.975948,0.024051666259765625
Harlow District,Generation,Solar PV,Eastern Power Networks (EPN),16,52,54.22786,-2.2278594970703125
Adur District,Generation,Solar PV,South Eastern Power Networks (SPN),6,20,22.795174,-2.7951736450195312
Dartford District (B),Demand,EV Charging Point,London Power Networks (LPN),9,0,-0.14865352,0.1486535221338272
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),7,26,25.395529,0.6044712066650391
Chelmsford District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,-0.5199084,0.5199084281921387
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),19,56,66.23027,-10.230270385742188
Cambridge District (B),Demand,Heat Pump,Eastern Power Networks (EPN),7,0,0.10667436,-0.10667435824871063
Welwyn Hatfield District (B),Generation,Solar PV,Eastern Power Networks (EPN),21,58,70.281906,-12.281906127929688
Canterbury District (B),Generation,Solar PV,South Eastern Power Networks (SPN),21,68,68.72971,-0.7297134399414062
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),20,86,71.59635,14.403648376464844
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,18,26.036242,-8.03624153137207
Gravesham District (B),Generation,Solar PV,South Eastern Power Networks (SPN),17,48,57.0882,-9.088199615478516
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,30,29.56631,0.4336891174316406
Maldon District (B),Demand,Heat Pump,Eastern Power Networks (EPN),19,0,1.0644178,-1.064417839050293
Tonbridge and Malling District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,0.29288244,-0.29288244247436523
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,23,23.605808,-0.6058082580566406
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),32,110,104.11453,5.885467529296875
Chelmsford District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.43597764,0.43597763776779175
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),11,41,39.113667,1.8863334655761719
Richmond upon Thames London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
Southend-on-Sea (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.2981832,-0.2981832027435303
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),9,31,32.43399,-1.433990478515625
Fenland District,Generation,Solar PV,Eastern Power Networks (EPN),24,84,188.42255,-104.42254638671875
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,15,22.795174,-7.795173645019531
Uttlesford District,Generation,Solar PV,Eastern Power Networks (EPN),6,21,22.886513,-1.8865127563476562
Kingston upon Thames London Boro,Generation,Solar PV,London Power Networks (LPN),10,32,32.427097,-0.4270973205566406
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),6,16,22.058546,-6.05854606628418
East Cambridgeshire District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.21658753,-0.21658752858638763
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),6,17,22.886513,-5.886512756347656
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,28,32.977615,-4.9776153564453125
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,27,22.795174,4.204826354980469
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),8,34,30.115936,3.884063720703125
Epping Forest District,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,-0.23676625,0.2367662489414215
Guildford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,24,29.56631,-5.566310882568359
Dacorum District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,-0.70349354,0.7034935355186462
Waverley District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,34,30.231672,3.7683277130126953
Castle Point District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,19,21.144041,-2.144041061401367
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,29,36.552258,-7.552257537841797
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),15,56,52.241634,3.7583656311035156
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),6,30,22.795174,7.204826354980469
Buckinghamshire,Demand,Heat Pump,Eastern Power Networks (EPN),9,0,0.16285592,-0.16285592317581177
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,40,42.333527,-2.333526611328125
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),6,20,23.071358,-3.0713577270507812
Fenland District,Generation,Solar PV,Eastern Power Networks (EPN),12,50,45.85856,4.141441345214844
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),7,23,27.08836,-4.088359832763672
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),16,56,56.122334,-0.12233352661132812
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),36,119,115.24201,3.7579879760742188
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),8,40,29.56631,10.43368911743164
Stevenage District (B),Generation,Solar PV,Eastern Power Networks (EPN),30,100,80.65643,19.34356689453125
Waltham Forest London Boro,Generation,Solar PV,London Power Networks (LPN),10,32,29.141243,2.8587570190429688
Dover District,Generation,Solar PV,South Eastern Power Networks (SPN),10,37,35.754807,1.2451934814453125
Crawley District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,24,26.036242,-2.0362415313720703
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),6,19,21.600077,-2.600076675415039
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),11,45,39.376747,5.623252868652344
Eastbourne District (B),Generation,Solar PV,South Eastern Power Networks (SPN),39,95,111.22541,-16.22541046142578
Redbridge London Boro,Generation,Solar PV,London Power Networks (LPN),8,28,29.068392,-1.0683917999267578
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,33,29.786375,3.213624954223633
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),6,20,22.886513,-2.8865127563476562
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),7,27,26.761532,0.23846817016601562
Redbridge London Boro,Generation,Solar PV,London Power Networks (LPN),10,50,32.427097,17.57290267944336
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),14,54,49.983913,4.016086578369141
East Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,49,32.258327,16.74167251586914
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),8,24,29.56631,-5.566310882568359
North Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,28,32.239513,-4.239513397216797
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,31,32.977615,-1.9776153564453125
Maidstone District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,28,22.795174,5.204826354980469
South Cambridgeshire District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.10872772,0.10872772336006165
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),6,19,23.991488,-4.991487503051758
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),13,48,44.625416,3.374584197998047
Richmond upon Thames London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),7,22,26.036242,-4.03624153137207
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,38,35.682945,2.3170547485351562
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),49,139,162.782,-23.781997680664062
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),6,40,23.439426,16.56057357788086
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),12,93,42.501064,50.49893569946289
Harlow District,Generation,Solar PV,Eastern Power Networks (EPN),13,43,43.08738,-0.08737945556640625
Gravesham District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,30,28.928648,1.0713520050048828
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,32,35.69771,-3.6977081298828125
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),6,24,22.886513,1.1134872436523438
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),7,21,26.585867,-5.585866928100586
Wealden District,Demand,Heat Pump,South Eastern Power Networks (SPN),13,0,-0.06444231,0.06444230675697327
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,40,35.682945,4.317054748535156
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),23,87,82.08112,4.918876647949219
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),13,31,44.460587,-13.460586547851562
Croydon London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),7,18,24.358057,-6.358057022094727
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,22,26.036242,-4.03624153137207
Harrow London Boro,Generation,Solar PV,Eastern Power Networks (EPN),7,23,26.585867,-3.585866928100586
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),10,33,36.558002,-3.558002471923828
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),19,66,71.75827,-5.758270263671875
Buckinghamshire,Demand,EV Charging Point,Eastern Power Networks (EPN),9,0,0.20963086,-0.20963086187839508
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),14,53,49.97817,3.021831512451172
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),9,30,32.43399,-2.433990478515625
Crawley District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,20,26.036242,-6.03624153137207
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,23,27.693903,-4.693902969360352
East Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),11,90,39.113667,50.88633346557617
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,33,32.258327,0.7416725158691406
Swale District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,24,25.191427,-1.191427230834961
Rother District,Generation,Solar PV,South Eastern Power Networks (SPN),8,25,29.701645,-4.7016448974609375
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),8,18,30.115936,-12.115936279296875
Bedford (B),Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.15344928,-0.15344928205013275
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),13,59,45.664692,13.335308074951172
Bromley London Boro,Demand,EV Charging Point,London Power Networks (LPN),6,0,-0.31299734,0.31299734115600586
Rother District,Generation,Solar PV,South Eastern Power Networks (SPN),12,26,41.869503,-15.869503021240234
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,28,36.558002,-8.558002471923828
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),8,26,30.115936,-4.115936279296875
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),7,24,24.933512,-0.9335117340087891
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),8,34,30.115936,3.884063720703125
Barnet London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),9,0,-0.016420988,0.016420988366007805
North Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),6,19,22.930664,-3.9306640625
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,16,23.280905,-7.280904769897461
Barking and Dagenham London Boro,Generation,Solar PV,London Power Networks (LPN),6,19,19.096397,-0.09639739990234375
Tonbridge and Malling District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,0.18635453,-0.18635453283786774
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),11,36,41.89343,-5.893428802490234
Watford District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,21,22.886513,-1.8865127563476562
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),6,21,22.886513,-1.8865127563476562
Barnet London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,-0.072602615,0.07260261476039886
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),18,52,63.127037,-11.127037048339844
Fenland District,Generation,Solar PV,Eastern Power Networks (EPN),8,24,31.984991,-7.984991073608398
Broadland District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),7,8,16.377947,-8.377946853637695
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),8,27,32.627518,-5.6275177001953125
Haringey London Boro,Generation,Solar PV,Eastern Power Networks (EPN),7,16,25.509651,-9.509651184082031
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,28,31.383266,-3.3832664489746094
Hertsmere District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.32202393,0.3220239281654358
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),10,31,36.558002,-5.558002471923828
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,29,30.115936,-1.115936279296875
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),8,31,30.612436,0.38756370544433594
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,26,26.585867,-0.5858669281005859
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,21,27.305162,-6.30516242980957
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),12,39,43.220352,-4.2203521728515625
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,35,27.693903,7.306097030639648
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),9,29,32.258327,-3.2583274841308594
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,42,37.27729,4.722709655761719
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),38,144,113.228966,30.771034240722656
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),14,49,53.371128,-4.371128082275391
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),9,26,32.258327,-6.258327484130859
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,37,37.59402,-0.5940208435058594
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),11,44,39.376747,4.623252868652344
Bromley London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),6,16,22.795174,-6.795173645019531
Harrow London Boro,Generation,Solar PV,Eastern Power Networks (EPN),6,20,22.886513,-2.8865127563476562
Elmbridge District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),12,0,0.24412708,-0.2441270798444748
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,38,36.555294,1.4447059631347656
Rochford District,Generation,Solar PV,Eastern Power Networks (EPN),11,35,38.62062,-3.6206207275390625
Enfield London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.00960803,-0.009608030319213867
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),22,65,81.69991,-16.699913024902344
North Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,27,32.239513,-5.239513397216797
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),8,26,32.327248,-6.327247619628906
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),6,19,22.886513,-3.8865127563476562
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),10,31,36.558002,-5.558002471923828
North Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),11,23,38.866615,-15.866615295410156
East Suffolk District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),10,5,16.096554,-11.096553802490234
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,31,35.682945,-4.682945251464844
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,32,34.769905,-2.7699050903320312
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,36,32.252583,3.747417449951172
Eastbourne District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,29,35.682945,-6.682945251464844
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,24,27.307076,-3.3070755004882812
Barnet London Boro,Generation,Solar PV,Eastern Power Networks (EPN),6,34,20.611794,13.388206481933594
Stevenage District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,21,23.711319,-2.7113189697265625
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),14,48,49.65116,-1.6511611938476562
Elmbridge District (B),Generation,Solar PV,South Eastern Power Networks (SPN),13,45,44.087036,0.9129638671875
Castle Point District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,34,41.99198,-7.991981506347656
Enfield London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,19,26.456924,-7.4569244384765625
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),17,52,67.43284,-15.432838439941406
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,47,36.382202,10.6177978515625
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),11,33,39.113667,-6.113666534423828
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,32,48.222427,-16.222427368164062
Guildford District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,0.02479649,-0.024796489626169205
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),6,22,22.795174,-0.7951736450195312
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),11,39,39.113667,-0.11366653442382812
Maldon District (B),Generation + Demand,Battery Storage,Eastern Power Networks (EPN),6,17,13.665987,3.334012985229492
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),19,54,66.44692,-12.446922302246094
Adur District,Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
Hertsmere District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.32202393,0.3220239281654358
St. Albans District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.01783961,-0.01783961057662964
East Suffolk District,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.7635093,-0.7635092735290527
Worthing District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,26,27.96023,-1.9602298736572266
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,42,36.252174,5.747825622558594
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),16,74,56.609344,17.390655517578125
Croydon London Boro,Demand,Heat Pump,South Eastern Power Networks (SPN),7,0,-0.17549221,0.17549221217632294
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,20,23.605808,-3.6058082580566406
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),16,55,56.609344,-1.609344482421875
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),10,36,36.558002,-0.5580024719238281
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),13,23,44.087036,-21.0870361328125
Broxbourne District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.43729085,-0.43729084730148315
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,33,29.834396,3.1656036376953125
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,21,23.034588,-2.034587860107422
Kingston upon Thames London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),11,31,38.238605,-7.238605499267578
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,33,36.252174,-3.2521743774414062
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),13,50,44.087036,5.9129638671875
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),8,25,30.115936,-5.115936279296875
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),18,59,61.5342,-2.534198760986328
Rochford District,Generation,Solar PV,Eastern Power Networks (EPN),9,24,30.490032,-6.490032196044922
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,27,30.115936,-3.115936279296875
Luton (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.87218773,0.8721877336502075
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,26,27.13878,-1.1387805938720703
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,30,35.544876,-5.5448760986328125
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),15,65,53.23258,11.76742172241211
